"","Date","County_Name","Total_Positives","Total_Deaths","New_Deaths_7_Day_Avg","New_Deaths_Today","Cases_Per_Death","Clean_New_Deaths_Today"
"303",2021-02-04,"Arkansas_all_counties",302899,5009,32.1,24,60.4709522858854,24
"304",2021-02-05,"Arkansas_all_counties",304723,5050,31.3,41,60.3411881188119,41
"305",2021-02-06,"Arkansas_all_counties",306064,5061,31.9,11,60.4750049397352,11
"306",2021-02-07,"Arkansas_all_counties",306736,5076,29.7,15,60.4286840031521,15
"307",2021-02-08,"Arkansas_all_counties",307373,5106,30.1,30,60.1983940462201,30
"308",2021-02-09,"Arkansas_all_counties",308848,5148,29.9,42,59.993783993784,42
"309",2021-02-10,"Arkansas_all_counties",309940,5174,27,26,59.9033629686896,26
"310",2021-02-11,"Arkansas_all_counties",311043,5199,27.1,25,59.8274668205424,25
"311",2021-02-12,"Arkansas_all_counties",311608,5212,23.1,13,59.7866462010744,13
"312",2021-02-13,"Arkansas_all_counties",312562,5252,27.3,40,59.512947448591,40
"313",2021-02-14,"Arkansas_all_counties",313028,5265,27,13,59.4545109211776,13
"314",2021-02-15,"Arkansas_all_counties",313348,5275,24.1,10,59.4024644549763,10
"315",2021-02-16,"Arkansas_all_counties",313525,5287,19.9,12,59.3011159447702,12
"316",2021-02-17,"Arkansas_all_counties",314192,5313,19.9,26,59.1364577451534,26
"317",2021-02-18,"Arkansas_all_counties",314445,5323,17.7,10,59.0728912267518,10
"318",2021-02-19,"Arkansas_all_counties",314713,5336,17.7,13,58.9791979010495,13
"319",2021-02-20,"Arkansas_all_counties",315230,5348,13.7,12,58.9435302916978,12
"320",2021-02-21,"Arkansas_all_counties",315514,5357,13.1,9,58.8975172671271,9
"321",2021-02-22,"Arkansas_all_counties",315759,5363,12.6,6,58.8773074771583,6
"322",2021-02-23,"Arkansas_all_counties",316593,5377,12.9,14,58.8791147480007,14
"323",2021-02-24,"Arkansas_all_counties",317396,5387,10.6,10,58.9188787822536,10
"324",2021-02-25,"Arkansas_all_counties",318122,5397,10.6,10,58.9442282749676,10
"325",2021-02-26,"Arkansas_all_counties",318638,5407,10.1,10,58.9306454595894,10
"326",2021-02-27,"Arkansas_all_counties",319195,5417,9.9,10,58.924681558058,10
"327",2021-02-28,"Arkansas_all_counties",322415,5243,-16.3,-174,61.4943734503147,NA
"328",2021-03-01,"Arkansas_all_counties",322509,5250,-16.1,7,61.4302857142857,7
"329",2021-03-02,"Arkansas_all_counties",322949,5254,-17.6,4,61.4672630376856,4
"330",2021-03-03,"Arkansas_all_counties",323353,5261,-18,7,61.4622695305075,7
"331",2021-03-04,"Arkansas_all_counties",323756,5273,-17.7,12,61.3988241987483,12
"332",2021-03-05,"Arkansas_all_counties",324326,5283,-17.7,10,61.3904978232065,10
"333",2021-03-06,"Arkansas_all_counties",324653,5297,-17.1,14,61.2899754578063,14
"334",2021-03-07,"Arkansas_all_counties",324818,5319,10.9,22,61.0674938898289,22
"335",2021-03-08,"Arkansas_all_counties",324951,5343,13.3,24,60.8180797304885,24
"336",2021-03-09,"Arkansas_all_counties",325383,5357,14.7,14,60.7397797274594,14
"337",2021-03-10,"Arkansas_all_counties",325700,5382,17.3,25,60.5165366034931,25
"338",2021-03-11,"Arkansas_all_counties",326040,5410,19.6,28,60.2661737523105,28
"339",2021-03-12,"Arkansas_all_counties",326499,5437,22,27,60.0513150634541,27
"340",2021-03-13,"Arkansas_all_counties",326813,5455,22.6,18,59.9107241063245,18
"341",2021-03-14,"Arkansas_all_counties",326943,5474,22.1,19,59.7265253927658,19
"342",2021-03-15,"Arkansas_all_counties",327060,5481,19.7,7,59.671592775041,7
"343",2021-03-16,"Arkansas_all_counties",327456,5493,19.4,12,59.6133260513381,12
"344",2021-03-17,"Arkansas_all_counties",327781,5507,17.9,14,59.5207917196296,14
"345",2021-03-18,"Arkansas_all_counties",328045,5515,15,8,59.482320942883,8
"346",2021-03-19,"Arkansas_all_counties",328273,5529,13.1,14,59.3729426659432,14
"347",2021-03-20,"Arkansas_all_counties",328547,5533,11.1,4,59.379540936201,4
"348",2021-03-21,"Arkansas_all_counties",328655,5539,9.3,6,59.3347174580249,6
"349",2021-03-22,"Arkansas_all_counties",328707,5544,9,5,59.2905844155844,5
"350",2021-03-23,"Arkansas_all_counties",328946,5547,7.7,3,59.3016044708852,3
"351",2021-03-24,"Arkansas_all_counties",329177,5560,7.6,13,59.2044964028777,13
"352",2021-03-25,"Arkansas_all_counties",329511,5571,8,11,59.147549811524,11
"353",2021-03-26,"Arkansas_all_counties",329695,5583,7.7,12,59.0533763209744,12
"354",2021-03-27,"Arkansas_all_counties",329860,5590,8.1,7,59.0089445438283,7
